Date/Time (PST),Battery Voltage (v),Temperature (deg F),Relative Humidity (%),Wind Speed Minimum (mph),Wind Speed Average (mph),Wind Speed Maximum (mph),Wind Direction (deg.),"Precipitation ("")","24 hour snowfall ("")","Snow Depth ("")"
2016-12-29 22:00,13.6,29.08,100.0,7.14,15.08,25.21,298.1,0.02,-27.06,105.8
2016-12-29 21:00,13.6,29.81,100.0,6.262,13.87,23.06,303.0,0.0,-43.89,102.2
2016-12-29 20:00,13.6,29.33,100.0,8.38,14.6,23.16,301.5,0.0,56.64,102.2
2016-12-29 19:00,13.61,28.61,93.6,9.53,16.52,28.11,304.4,0.0,56.38,104.4
2016-12-29 18:00,13.6,27.26,66.59,9.02,15.58,24.51,309.1,0.0,55.25,104.4
2016-12-29 17:00,13.6,29.56,74.9,6.496,14.37,27.64,305.8,0.0,54.52,101.4
2016-12-29 16:00,13.61,31.85,76.7,5.419,12.36,25.01,293.6,0.0,54.12,101.4
2016-12-29 15:00,13.6,32.58,78.6,7.03,12.48,23.16,301.0,0.0,54.92,101.6
2016-12-29 14:00,13.61,33.07,75.3,6.732,13.15,24.64,299.6,0.0,55.45,99.8
2016-12-29 13:00,13.61,33.79,74.4,6.126,10.85,17.94,298.4,0.0,56.18,99.8
